specialty,uni_short,uni_full,bm_max,bm,applications
Математика,ПНУ ім. В. Стефаника,Прикарпатський національний університет імені Василя Стефаника,11,N/A,31
Дитячі та молодіжні служби,ПНУ ім. В. Стефаника,Прикарпатський національний університет імені Василя Стефаника,11,N/A,26
Агрономія,ПНУ ім. В. Стефаника,Прикарпатський національний університет імені Василя Стефаника,11,N/A,142
Облік і оподаткування,ТДАТУ,Таврійський державний агротехнологічний університет імені Дмитра Моторного,11,N/A,29
Геодезія та землеустрій,ТДАТУ,Таврійський державний агротехнологічний університет імені Дмитра Моторного,11,N/A,20
Екологія,ТДАТУ,Таврійський державний агротехнологічний університет імені Дмитра Моторного,11,N/A,35
Середня освіта,МДПУ імені Богдана Хмельницького,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,11,N/A,25
Терапія та реабілітація,"НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",11,N/A,13
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка","НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",11,N/A,27
Прикладна механіка,"НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",11,N/A,10
Авіаційний транспорт,"НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",11,N/A,22
Початкова освіта,БДПУ,Бердянський державний педагогічний університет,11,N/A,28
Середня освіта,БДПУ,Бердянський державний педагогічний університет,11,N/A,11
Психологія,БДПУ,Бердянський державний педагогічний університет,11,N/A,117
Спеціальна освіта,ЗНУ,Запорізький національний університет,11,N/A,36
Менеджмент,ЗНУ,Запорізький національний університет,11,N/A,195
Дошкільна освіта,ЗНУ,Запорізький національний університет,11,N/A,22
Прикладна механіка,КНУ,Криворізький національний університет,11,N/A,20
Науки про Землю,КНУ,Криворізький національний університет,11,N/A,21
Початкова освіта,ЖДУ,Житомирський державний університет імені Івана Франка,11,N/A,17
Комп'ютерні науки,ЖДУ,Житомирський державний університет імені Івана Франка,11,N/A,141
Лісове господарство,Житомирська політехніка,"Державний університет ""Житомирська політехніка""",11,N/A,127
Будівництво та цивільна інженерія,Житомирська політехніка,"Державний університет ""Житомирська політехніка""",11,N/A,156
Агрономія,Житомирська політехніка,"Державний університет ""Житомирська політехніка""",11,N/A,133
Прикладна механіка,ДВНЗ ДОННТУ,"Державний вищий навчальний заклад ""Донецький національний технічний університет""",11,N/A,23
Середня освіта,КДПУ,Криворізький державний педагогічний університет,11,N/A,15
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",ДУЕТ,Державний університет економіки і технологій,11,N/A,9
Матеріалознавство,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",11,N/A,10
Комп'ютерна інженерія,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",11,N/A,66
Інженерія програмного забезпечення,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",11,N/A,60
Інформаційні системи і технології,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",11,N/A,154
Автомобільний транспорт,ЛНТУ,Луцький національний технічний університет,11,N/A,55
Автомобільний транспорт,ЛНТУ,Луцький національний технічний університет,11,N/A,65
Технології легкої промисловості,ЛНТУ,Луцький національний технічний університет,11,N/A,36
Дизайн,ЛНТУ,Луцький національний технічний університет,N/A,11,181
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",ЛНТУ,Луцький національний технічний університет,11,N/A,52
Фізика та астрономія,ВНУ імені Лесі Українки,Волинський національний університет імені Лесі Українки,11,N/A,16
Культурологія та музеєзнавство,ВНУ імені Лесі Українки,Волинський національний університет імені Лесі Українки,11,N/A,19
Культурологія та музеєзнавство,ВНУ імені Лесі Українки,Волинський національний університет імені Лесі Українки,11,N/A,35
"Електроніка, електронні комунікації, приладобудування та радіотехніка",ВНТУ,Вінницький національний технічний університет,11,N/A,8
Професійна освіта,ВДПУ,Вінницький державний педагогічний університет імені Михайла Коцюбинського,11,N/A,47
Історія та археологія,ДонНУ імені Василя Стуса,Донецький національний університет імені Василя Стуса,11,N/A,76
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",НУХТ,Національний університет харчових технологій,11,N/A,42
Філологія,ТНУ ім. В.І.Вернадського,Таврійський національний університет імені В.І.Вернадського,11,N/A,127
Терапія та реабілітація,ТНУ ім. В.І.Вернадського,Таврійський національний університет імені В.І.Вернадського,11,N/A,180
Середня освіта,ТНУ ім. В.І.Вернадського,Таврійський національний університет імені В.І.Вернадського,11,N/A,17
Терапія та реабілітація,НУФВСУ,Національний університет фізичного виховання і спорту України,11,N/A,73
Автомобільний транспорт,НТУ,Національний транспортний університет,11,N/A,67
