specialty,uni_short,uni_full,bm_max,bm,applications
Автомобільний транспорт,ПДАУ,Полтавський державний аграрний університет,6,N/A,68
Хімія,ПНПУ ІМЕНІ В.Г.КОРОЛЕНКА,Полтавський національний педагогічний університет імені В.Г. Короленка,6,N/A,20
Середня освіта,ПНПУ ІМЕНІ В.Г.КОРОЛЕНКА,Полтавський національний педагогічний університет імені В.Г. Короленка,6,N/A,31
Середня освіта,ПНПУ ІМЕНІ В.Г.КОРОЛЕНКА,Полтавський національний педагогічний університет імені В.Г. Короленка,6,N/A,34
Середня освіта,ПНПУ ІМЕНІ В.Г.КОРОЛЕНКА,Полтавський національний педагогічний університет імені В.Г. Короленка,6,N/A,84
Середня освіта,ПНПУ ІМЕНІ В.Г.КОРОЛЕНКА,Полтавський національний педагогічний університет імені В.Г. Короленка,6,N/A,16
Біологія та біохімія,ПНПУ ІМЕНІ В.Г.КОРОЛЕНКА,Полтавський національний педагогічний університет імені В.Г. Короленка,6,N/A,33
Машинобудування,Національний університет імені Юрія Кондратюка,"Національний університет ""Полтавська політехніка імені Юрія Кондратюка""",6,N/A,10
Психологія,Національний університет імені Юрія Кондратюка,"Національний університет ""Полтавська політехніка імені Юрія Кондратюка""",6,N/A,551
Кібербезпека та захист інформації,Національний університет імені Юрія Кондратюка,"Національний університет ""Полтавська політехніка імені Юрія Кондратюка""",6,N/A,285
Філологія,ІДГУ,Ізмаїльський державний гуманітарний університет,6,N/A,21
Середня освіта,ІДГУ,Ізмаїльський державний гуманітарний університет,6,N/A,5
Середня освіта,ІДГУ,Ізмаїльський державний гуманітарний університет,6,N/A,8
Психологія,ІДГУ,Ізмаїльський державний гуманітарний університет,6,N/A,52
Психологія,ОНЕУ,Одеський національний економічний університет,6,N/A,15
"Фінанси, банківська справа, страхування та фондовий ринок",ОНЕУ,Одеський національний економічний університет,6,N/A,97
Психологія,ОНЕУ,Одеський національний економічний університет,6,N/A,317
Економіка та міжнародні економічні відносини,ОНЕУ,Одеський національний економічний університет,6,N/A,321
Морський та внутрішній водний транспорт,"ДІ НУ""ОМА""","Дунайський інститут Національного університету ""Одеська морська академія""",6,N/A,66
Морський та внутрішній водний транспорт,ОНМУ,Одеський національний морський університет,6,N/A,56
Машинобудування,ОНМУ,Одеський національний морський університет,6,N/A,1
Психологія,ОНМУ,Одеський національний морський університет,6,N/A,186
Кібербезпека та захист інформації,ОНМУ,Одеський національний морський університет,6,N/A,149
Технології захисту навколишнього середовища,ОНТУ,Одеський національний технологічний університет,6,N/A,3
Комп'ютерні науки,ОНТУ,Одеський національний технологічний університет,6,N/A,27
Комп'ютерна інженерія,ОНТУ,Одеський національний технологічний університет,6,N/A,15
Електрична інженерія,ОНТУ,Одеський національний технологічний університет,6,N/A,5
Гірництво та нафтогазові технології,ОНТУ,Одеський національний технологічний університет,6,N/A,5
Прикладна механіка,ОНТУ,Одеський національний технологічний університет,6,N/A,16
Менеджмент,ОНТУ,Одеський національний технологічний університет,6,N/A,108
Готельно-ресторанна справа та кейтеринг,ОНТУ,Одеський національний технологічний університет,6,N/A,134
Харчові технології,МГУ,Міжнародний гуманітарний університет,6,N/A,16
Терапія та реабілітація,МГУ,Міжнародний гуманітарний університет,6,N/A,49
Філологія,МГУ,Міжнародний гуманітарний університет,6,N/A,282
Психологія,МГУ,Міжнародний гуманітарний університет,6,N/A,257
Медсестринство,МГУ,Міжнародний гуманітарний університет,6,N/A,73
Інженерія програмного забезпечення,"НУ ""ОЮА""","Національний університет ""Одеська юридична академія""",6,N/A,17
Філологія,"НУ ""ОЮА""","Національний університет ""Одеська юридична академія""",6,N/A,124
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка","НУ ""ОЮА""","Національний університет ""Одеська юридична академія""",6,N/A,19
Автомобільний транспорт,ОДАБА,Одеська державна академія будівництва та архітектури,6,N/A,21
Психологія,Одеська політехніка,"Національний університет ""Одеська політехніка""",6,N/A,20
Машинобудування,Одеська політехніка,"Національний університет ""Одеська політехніка""",6,N/A,14
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",Одеська політехніка,"Національний університет ""Одеська політехніка""",6,N/A,14
Психологія,Одеська політехніка,"Національний університет ""Одеська політехніка""",6,N/A,311
Металургія,Одеська політехніка,"Національний університет ""Одеська політехніка""",6,N/A,15
Музичне мистецтво,Університет Ушинського,Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»,N/A,6,43
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",ДУІТЗ,Державний університет інтелектуальних технологій і зв'язку,6,N/A,46
Комп'ютерна інженерія,ДУІТЗ,Державний університет інтелектуальних технологій і зв'язку,6,N/A,82
Психологія,ДУІТЗ,Державний університет інтелектуальних технологій і зв'язку,6,N/A,117
Екологія,НУК ім. адм. Макарова,Національний університет кораблебудування імені адмірала Макарова,6,N/A,8
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",НУК ім. адм. Макарова,Національний університет кораблебудування імені адмірала Макарова,6,N/A,7
Спеціальна освіта,НУК ім. адм. Макарова,Національний університет кораблебудування імені адмірала Макарова,6,N/A,26
Прикладна механіка,НУК ім. адм. Макарова,Національний університет кораблебудування імені адмірала Макарова,6,N/A,16
Право,НУК ім. адм. Макарова,Національний університет кораблебудування імені адмірала Макарова,6,N/A,58
Матеріалознавство,НУК ім. адм. Макарова,Національний університет кораблебудування імені адмірала Макарова,6,N/A,15
Енерговиробництво,НУК ім. адм. Макарова,Національний університет кораблебудування імені адмірала Макарова,6,N/A,13
Морський та внутрішній водний транспорт,НУОМА,"Національний університет ""Одеська морська академія""",6,N/A,36
Прикладна механіка,ПННІ НУК,Первомайський навчально-науковий інститут Національного університету кораблебудування імені адмірала Макарова,6,N/A,14
Енерговиробництво,ПННІ НУК,Первомайський навчально-науковий інститут Національного університету кораблебудування імені адмірала Макарова,6,N/A,15
Терапія та реабілітація,ЧНУ ім. Петра Могили,Чорноморський національний університет імені Петра Могили,6,N/A,32
"Фінанси, банківська справа, страхування та фондовий ринок",ЧНУ ім. Петра Могили,Чорноморський національний університет імені Петра Могили,6,N/A,63
Філологія,ЧНУ ім. Петра Могили,Чорноморський національний університет імені Петра Могили,6,N/A,40
Філологія,ЧНУ ім. Петра Могили,Чорноморський національний університет імені Петра Могили,6,N/A,63
Спеціальна освіта,ЧНУ ім. Петра Могили,Чорноморський національний університет імені Петра Могили,6,N/A,34
Середня освіта,ЧНУ ім. Петра Могили,Чорноморський національний університет імені Петра Могили,6,N/A,25
Соціологія,Львівська політехніка,"Національний університет ""Львівська політехніка""",6,N/A,228
Машинобудування,Львівська політехніка,"Національний університет ""Львівська політехніка""",6,N/A,35
Журналістика,Львівська політехніка,"Національний університет ""Львівська політехніка""",6,N/A,800
Перформативні мистецтва,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,N/A,6,92
Технології захисту навколишнього середовища,ЛНУВМБ імені С. З. Ґжицького,Львівський національний університет ветеринарної медицини та біотехнологій імені С. З. Ґжицького,6,N/A,22
Інформаційні системи і технології,ЛНУВМБ імені С. З. Ґжицького,Львівський національний університет ветеринарної медицини та біотехнологій імені С. З. Ґжицького,6,N/A,18
Психологія,ДДПУ,Дрогобицький державний педагогічний університет імені Івана Франка,6,N/A,233
Спеціальна освіта,ДДПУ,Дрогобицький державний педагогічний університет імені Івана Франка,6,N/A,93
Середня освіта,ДДПУ,Дрогобицький державний педагогічний університет імені Івана Франка,6,N/A,28
Психологія,НЛТУ України,Національний лісотехнічний університет України,6,N/A,735
Геодезія та землеустрій,НЛТУ України,Національний лісотехнічний університет України,6,N/A,140
Образотворче мистецтво та реставрація,ЛНАМ,Львівська національна академія мистецтв,N/A,6,71
Декоративне мистецтво та ремесла,ЛНАМ,Львівська національна академія мистецтв,N/A,6,29
Прикладна механіка,СНУ ім. В.Даля,Східноукраїнський національний університет імені Володимира Даля,6,N/A,27
Залізничний транспорт,СНУ ім. В.Даля,Східноукраїнський національний університет імені Володимира Даля,6,N/A,5
Гірництво та нафтогазові технології,СНУ ім. В.Даля,Східноукраїнський національний університет імені Володимира Даля,6,N/A,14
Автомобільний транспорт,СНУ ім. В.Даля,Східноукраїнський національний університет імені Володимира Даля,6,N/A,22
Автомобільний транспорт,СНУ ім. В.Даля,Східноукраїнський національний університет імені Володимира Даля,6,N/A,25
Залізничний транспорт,СНУ ім. В.Даля,Східноукраїнський національний університет імені Володимира Даля,6,N/A,18
Гірництво та нафтогазові технології,СНУ ім. В.Даля,Східноукраїнський національний університет імені Володимира Даля,6,N/A,22
Терапія та реабілітація,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",6,N/A,19
Середня освіта,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",6,N/A,13
Професійна освіта,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",6,N/A,23
Екологія,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",6,N/A,14
Філологія,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",6,N/A,23
Середня освіта,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",6,N/A,41
Середня освіта,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",6,N/A,30
Середня освіта,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",6,N/A,8
Науки про Землю,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",6,N/A,7
Екологія,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",6,N/A,29
Матеріалознавство,ЦНТУ,Центральноукраїнський національний технічний університет,6,N/A,10
Облік і оподаткування,ЦНТУ,Центральноукраїнський національний технічний університет,6,N/A,42
Екологія,ЦНТУ,Центральноукраїнський національний технічний університет,6,N/A,16
Фізична культура і спорт,ЦДУ ім.В.Винниченка,Центральноукраїнський державний університет імені Володимира Винниченка,N/A,6,85
Середня освіта,ЦДУ ім.В.Винниченка,Центральноукраїнський державний університет імені Володимира Винниченка,6,N/A,5
Психологія,ЦДУ ім.В.Винниченка,Центральноукраїнський державний університет імені Володимира Винниченка,6,N/A,295
Середня освіта,УГСП,Університет Григорія Сковороди в Переяславі,6,N/A,19
"Бібліотечна, інформаційна та архівна справа",УГСП,Університет Григорія Сковороди в Переяславі,6,N/A,25
Лісове господарство,БНАУ,Білоцерківський національний аграрний університет,6,N/A,33
Біотехнології та біоінженерія,БНАУ,Білоцерківський національний аграрний університет,6,N/A,30
Прикладна механіка,ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,6,N/A,9
Менеджмент,ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,6,N/A,43
Гірництво та нафтогазові технології,ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,6,N/A,15
Гірництво та нафтогазові технології,ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,6,N/A,19
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,6,N/A,24
Геодезія та землеустрій,ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,6,N/A,14
Середня освіта,КННІ,Коломийський навчально-науковий інститут Прикарпатського національного університету імені Василя Стефаника,6,N/A,48
Дошкільна освіта,ПНУ ім. В. Стефаника,Прикарпатський національний університет імені Василя Стефаника,6,N/A,4
Філософія,ПНУ ім. В. Стефаника,Прикарпатський національний університет імені Василя Стефаника,6,N/A,54
Фізика та астрономія,ПНУ ім. В. Стефаника,Прикарпатський національний університет імені Василя Стефаника,6,N/A,21
Середня освіта,ПНУ ім. В. Стефаника,Прикарпатський національний університет імені Василя Стефаника,6,N/A,49
Менеджмент,ПНУ ім. В. Стефаника,Прикарпатський національний університет імені Василя Стефаника,6,N/A,407
Туризм та рекреація,ТДАТУ,Таврійський державний агротехнологічний університет імені Дмитра Моторного,6,N/A,11
Публічне управління та адміністрування,ТДАТУ,Таврійський державний агротехнологічний університет імені Дмитра Моторного,6,N/A,7
Економіка та міжнародні економічні відносини,ТДАТУ,Таврійський державний агротехнологічний університет імені Дмитра Моторного,6,N/A,32
Середня освіта,МДПУ імені Богдана Хмельницького,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,6,N/A,6
Середня освіта,МДПУ імені Богдана Хмельницького,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,6,N/A,4
Садово-паркове господарство,МДПУ імені Богдана Хмельницького,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,6,N/A,1
Економіка та міжнародні економічні відносини,МДПУ імені Богдана Хмельницького,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,6,N/A,6
Дошкільна освіта,МДПУ імені Богдана Хмельницького,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,6,N/A,7
Соціальна робота та консультування,МДПУ імені Богдана Хмельницького,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,6,N/A,18
Середня освіта,МДПУ імені Богдана Хмельницького,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,6,N/A,7
Садово-паркове господарство,МДПУ імені Богдана Хмельницького,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,6,N/A,9
Екологія,МДПУ імені Богдана Хмельницького,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,6,N/A,10
Прикладна механіка,"НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",6,N/A,14
Прикладна механіка,"НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",6,N/A,13
Прикладна механіка,"НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",6,N/A,10
Матеріалознавство,"НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",6,N/A,0
Торгівля,"НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",6,N/A,45
Системний аналіз та наука про дані,"НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",6,N/A,16
Електрична інженерія,"НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",6,N/A,20
Авіаційна та ракетно-космічна техніка,"НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",6,N/A,9
Авіаційна та ракетно-космічна техніка,"НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",6,N/A,15
Авіаційна та ракетно-космічна техніка,"НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",6,N/A,13
Технології легкої промисловості,МДУ,Мукачівський державний університет,6,N/A,18
Психологія,МДУ,Мукачівський державний університет,6,N/A,150
Музичне мистецтво,МДУ,Мукачівський державний університет,N/A,6,7
"Бібліотечна, інформаційна та архівна справа",МДУ,Мукачівський державний університет,6,N/A,17
Спеціальна освіта,МДУ,Мукачівський державний університет,6,N/A,61
Дошкільна освіта,БДПУ,Бердянський державний педагогічний університет,6,N/A,6
Соціальна робота та консультування,БДПУ,Бердянський державний педагогічний університет,6,N/A,32
Середня освіта,БДПУ,Бердянський державний педагогічний університет,6,N/A,32
Середня освіта,БДПУ,Бердянський державний педагогічний університет,6,N/A,8
Професійна освіта,БДПУ,Бердянський державний педагогічний університет,6,N/A,15
Психологія,ЗНУ,Запорізький національний університет,6,N/A,51
Металургія,ЗНУ,Запорізький національний університет,6,N/A,5
Металургія,ЗНУ,Запорізький національний університет,6,N/A,11
Інженерія програмного забезпечення,ЗНУ,Запорізький національний університет,6,N/A,24
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",ЗНУ,Запорізький національний університет,6,N/A,11
Філологія,ЗНУ,Запорізький національний університет,6,N/A,31
Середня освіта,ЗНУ,Запорізький національний університет,6,N/A,10
Право,ЗНУ,Запорізький національний університет,6,N/A,235
Перформативні мистецтва,ЗНУ,Запорізький національний університет,N/A,6,8
Охорона праці,ЗНУ,Запорізький національний університет,6,N/A,23
Металургія,ЗНУ,Запорізький національний університет,6,N/A,17
Машинобудування,ЗНУ,Запорізький національний університет,6,N/A,14
Лісове господарство,ЗНУ,Запорізький національний університет,6,N/A,12
Журналістика,ЗНУ,Запорізький національний університет,6,N/A,103
Енерговиробництво,ЗНУ,Запорізький національний університет,6,N/A,9
Енерговиробництво,ЗНУ,Запорізький національний університет,6,N/A,13
Економіка та міжнародні економічні відносини,ЗНУ,Запорізький національний університет,6,N/A,20
Екологія,ЗНУ,Запорізький національний університет,6,N/A,18
Філологія,"ДВНЗ ""УжНУ""","Державний вищий навчальний заклад ""Ужгородський національний університет""",6,N/A,27
Середня освіта,"ДВНЗ ""УжНУ""","Державний вищий навчальний заклад ""Ужгородський національний університет""",6,N/A,11
Медсестринство,"ДВНЗ ""УжНУ""","Державний вищий навчальний заклад ""Ужгородський національний університет""",6,N/A,92
Автомобільний транспорт,КНУ,Криворізький національний університет,6,N/A,17
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",КНУ,Криворізький національний університет,6,N/A,19
Професійна освіта,КНУ,Криворізький національний університет,6,N/A,40
Менеджмент,КНУ,Криворізький національний університет,6,N/A,102
Екологія,КНУ,Криворізький національний університет,6,N/A,28
Геодезія та землеустрій,КНУ,Криворізький національний університет,6,N/A,38
Автомобільний транспорт,КНУ,Криворізький національний університет,6,N/A,48
Менеджмент,Поліський університет,Поліський національний університет,6,N/A,43
Геодезія та землеустрій,Поліський університет,Поліський національний університет,6,N/A,71
Фізична культура і спорт,ЖДУ,Житомирський державний університет імені Івана Франка,N/A,6,84
Психологія,ЖДУ,Житомирський державний університет імені Івана Франка,6,N/A,361
Образотворче мистецтво та реставрація,ЗАМ,Закарпатська академія мистецтв,N/A,6,41
Фізична культура і спорт,ДДМА,Донбаська державна машинобудівна академія,N/A,6,25
Електрична інженерія,"ДВНЗ ""ПДТУ""","Державний вищий навчальний заклад ""Приазовський державний технічний університет""",6,N/A,4
Філологія,"ДВНЗ ""ПДТУ""","Державний вищий навчальний заклад ""Приазовський державний технічний університет""",6,N/A,14
Прикладна механіка,"ДВНЗ ""ПДТУ""","Державний вищий навчальний заклад ""Приазовський державний технічний університет""",6,N/A,10
Залізничний транспорт,"ДВНЗ ""ПДТУ""","Державний вищий навчальний заклад ""Приазовський державний технічний університет""",6,N/A,14
Будівництво та цивільна інженерія,"ДВНЗ ""ПДТУ""","Державний вищий навчальний заклад ""Приазовський державний технічний університет""",6,N/A,40
Автомобільний транспорт,"ДВНЗ ""ПДТУ""","Державний вищий навчальний заклад ""Приазовський державний технічний університет""",6,N/A,32
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка","ДВНЗ ""ПДТУ""","Державний вищий навчальний заклад ""Приазовський державний технічний університет""",6,N/A,21
Прикладна механіка,Житомирська політехніка,"Державний університет ""Житомирська політехніка""",6,N/A,9
Електрична інженерія,Житомирська політехніка,"Державний університет ""Житомирська політехніка""",6,N/A,26
Біомедична інженерія,Житомирська політехніка,"Державний університет ""Житомирська політехніка""",6,N/A,29
Початкова освіта,МДУ,Маріупольський державний університет,6,N/A,20
Кібербезпека та захист інформації,МДУ,Маріупольський державний університет,6,N/A,53
Дошкільна освіта,МДУ,Маріупольський державний університет,6,N/A,21
Середня освіта,ДДПУ,"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""",6,N/A,7
Середня освіта,ДДПУ,"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""",6,N/A,10
Початкова освіта,ДДПУ,"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""",6,N/A,26
Психологія,ГІІМ ДВНЗ ДДПУ,"Горлівський інститут іноземних мов Державного вищого навчального закладу ""Донбаський державний педагогічний університет""",6,N/A,41
Професійна освіта,КДПУ,Криворізький державний педагогічний університет,6,N/A,13
Філологія,КДПУ,Криворізький державний педагогічний університет,6,N/A,128
Середня освіта,КДПУ,Криворізький державний педагогічний університет,6,N/A,20
Психологія,КДПУ,Криворізький державний педагогічний університет,6,N/A,157
Хімічні технології та інженерія,ДУЕТ,Державний університет економіки і технологій,6,N/A,11
Психологія,ДУЕТ,Державний університет економіки і технологій,6,N/A,165
Гірництво та нафтогазові технології,ДУЕТ,Державний університет економіки і технологій,6,N/A,14
Прикладна механіка,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",6,N/A,19
Кібербезпека та захист інформації,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",6,N/A,36
Енерговиробництво,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",6,N/A,8
Автомобільний транспорт,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",6,N/A,27
Хімічні технології та інженерія,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",6,N/A,21
Прикладна математика,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",6,N/A,38
Біомедична інженерія,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",6,N/A,78
Історія та археологія,УМСФ,Університет митної справи та фінансів,6,N/A,75
Культурологія та музеєзнавство,УМСФ,Університет митної справи та фінансів,6,N/A,72
Автомобільний транспорт,ДДТУ,Дніпровський державний технічний університет,6,N/A,61
Психологія,ДНУ,Дніпровський національний університет імені Олеся Гончара,6,N/A,25
Комп'ютерна інженерія,ДНУ,Дніпровський національний університет імені Олеся Гончара,6,N/A,46
Енерговиробництво,ДНУ,Дніпровський національний університет імені Олеся Гончара,6,N/A,6
Авіаційна та ракетно-космічна техніка,ДНУ,Дніпровський національний університет імені Олеся Гончара,6,N/A,2
Філософія,ДНУ,Дніпровський національний університет імені Олеся Гончара,6,N/A,43
Філологія,ДНУ,Дніпровський національний університет імені Олеся Гончара,6,N/A,21
Філологія,ДНУ,Дніпровський національний університет імені Олеся Гончара,6,N/A,67
Філологія,ДНУ,Дніпровський національний університет імені Олеся Гончара,6,N/A,50
Технології медичної діагностики та лікування,ДНУ,Дніпровський національний університет імені Олеся Гончара,6,N/A,46
Середня освіта,ДНУ,Дніпровський національний університет імені Олеся Гончара,6,N/A,23
Математика,ДНУ,Дніпровський національний університет імені Олеся Гончара,6,N/A,9
Енерговиробництво,ДНУ,Дніпровський національний університет імені Олеся Гончара,6,N/A,10
Географія та регіональні студії,ДНУ,Дніпровський національний університет імені Олеся Гончара,6,N/A,19
Садово-паркове господарство,ДДАЕУ,Дніпровський державний аграрно-економічний університет,6,N/A,9
Машинобудування,ЛНТУ,Луцький національний технічний університет,6,N/A,62
Комп'ютерні науки,ЛНТУ,Луцький національний технічний університет,6,N/A,39
"Електроніка, електронні комунікації, приладобудування та радіотехніка",ЛНТУ,Луцький національний технічний університет,6,N/A,18
"Електроніка, електронні комунікації, приладобудування та радіотехніка",ЛНТУ,Луцький національний технічний університет,6,N/A,10
Екологія,ЛНТУ,Луцький національний технічний університет,6,N/A,25
Харчові технології,ЛНТУ,Луцький національний технічний університет,6,N/A,22
Психологія,ЛНТУ,Луцький національний технічний університет,6,N/A,512
Маркетинг,ЛНТУ,Луцький національний технічний університет,6,N/A,169
Початкова освіта,ВНУ імені Лесі Українки,Волинський національний університет імені Лесі Українки,6,N/A,27
Дошкільна освіта,ВНУ імені Лесі Українки,Волинський національний університет імені Лесі Українки,6,N/A,10
Енерговиробництво,ВНТУ,Вінницький національний технічний університет,6,N/A,2
Автомобільний транспорт,ВНТУ,Вінницький національний технічний університет,6,N/A,32
Автомобільний транспорт,ВНТУ,Вінницький національний технічний університет,6,N/A,37
Професійна освіта,ВНТУ,Вінницький національний технічний університет,6,N/A,23
Середня освіта,ВДПУ,Вінницький державний педагогічний університет імені Михайла Коцюбинського,6,N/A,14
